x_position_nm,y_position_nm,N_Bonds
-2.10334817611196e-07,-2.45040745117871e-07,0
-3.57182843109295e-07,-2.81745937404247e-07,0
-4.16202074490426e-07,4.48056283306197e-09,0
-2.36475952146445e-07,9.08974797052911e-08,0
-3.39801433181201e-07,2.33403434048763e-08,0
-2.6468320934946e-07,-2.61774382548166e-08,0
-1.56926328544234e-07,-3.54044871988616e-08,0
-2.83673293087051e-07,4.10055146019793e-08,0
-3.44228754672224e-07,-6.40828461930538e-08,0
-2.1873526123792e-07,-3.65104941604644e-08,0
-2.89785550698216e-07,8.7617471023184e-08,0
-3.07321237293475e-07,-3.9887816987171e-08,0
-2.97655655613427e-07,-4.79668614832328e-08,0
-4.00171410314919e-07,-9.17420716155112e-08,0
-6.05224157207865e-07,-9.2443925608102e-08,0
-6.28483811353073e-07,3.42553028968299e-08,0
-5.93985111553334e-07,-3.16078148875631e-08,0
-4.85963710699023e-07,6.70176048062911e-09,0
-4.43002111999379e-07,1.56536399405167e-07,0
-4.30047768804354e-07,-7.91210965628897e-08,0
-4.27051175123849e-07,-2.83330818885494e-07,0
-4.97361226784909e-07,-7.16291400376095e-08,0
-5.5472757429507e-07,-9.21675247257647e-08,0
-6.53629297026206e-07,-6.42345606559864e-08,0
-8.30135020603758e-07,-5.83473474639303e-09,0
-1.01390725212277e-06,4.96185647171668e-08,0
-1.07602724556281e-06,-1.19402197539149e-07,0
-1.09176158642119e-06,-1.88548379813507e-07,0
-1.13982612167823e-06,-2.14478861099333e-07,0
-1.20931572726839e-06,-2.10891265883135e-07,0
-1.16867707875042e-06,-2.58651264336288e-07,0
-1.18303372424256e-06,-2.04349006049002e-07,0
-1.28014060888497e-06,-2.45580377202071e-07,0
-1.22615402829498e-06,-2.54097317206835e-07,0
-1.3275042095049e-06,-3.39955694048786e-07,0
-1.33726064889158e-06,-2.50632228377744e-07,0
-1.31104595318297e-06,-4.62588955604076e-07,0
-1.15435983667612e-06,-4.07184091891414e-07,0
-1.13567574557028e-06,-5.80281347429285e-07,0
-1.09969241544115e-06,-5.8120990427276e-07,0
-1.11926928856818e-06,-6.56278008167153e-07,0
-1.12608125420323e-06,-7.77737627057296e-07,0
-1.2181449444588e-06,-8.17915964476186e-07,0
-1.1051479881731e-06,-9.74754181930915e-07,0
-1.03557376064214e-06,-8.42487652278553e-07,0
-1.05576490022154e-06,-7.92827079826039e-07,0
-9.09263555244992e-07,-8.37090085457705e-07,0
-9.47680452177455e-07,-8.46676046433527e-07,0
-8.62033904778954e-07,-8.04053515267792e-07,0
-7.01006372817265e-07,-5.80299509692778e-07,0
-8.02650974895768e-07,-6.32645919612735e-07,0
-6.32660084790275e-07,-7.13753105969779e-07,0
-7.18244655898204e-07,-5.45407961488867e-07,0
-7.18201511990878e-07,-3.70047291564701e-07,0
-8.09296221145409e-07,-4.4477263806907e-07,0
-7.30631431659449e-07,-4.73832518149599e-07,0
-5.94005056781406e-07,-4.74560295449729e-07,0
-5.03294326368908e-07,-6.42582778216591e-07,0
-4.94746864809639e-07,-7.16873749664985e-07,0
-4.10669799713987e-07,-5.33282622151151e-07,0
-5.51219187930385e-07,-5.50591170283286e-07,0
-5.56440402886725e-07,-5.34466668861551e-07,0
-4.3880942725665e-07,-4.6864604574315e-07,0
-3.35279033124418e-07,-6.69659044970896e-07,0
-3.07081561092368e-07,-7.12991992653701e-07,0
-4.25506795504392e-07,-9.32343476690665e-07,0
-2.69444636860889e-07,-7.95358617962276e-07,0
-1.82064964290457e-07,-7.36811935869464e-07,0
-2.5209183586632e-07,-7.64678646975807e-07,0
-3.44893214226e-07,-9.51356828349365e-07,0
-2.26393012407346e-07,-8.59784347675685e-07,0
-2.09473826781349e-07,-9.17435740949033e-07,0
-8.0275091612535e-08,-1.02383750759418e-06,0
5.93321165745022e-08,-1.13418563105323e-06,0
6.80042865908071e-08,-1.32369161782357e-06,0
9.22892774517484e-08,-1.46489148905189e-06,0
2.80296566346527e-07,-1.43484197313038e-06,0
1.89533190304794e-07,-1.44011816148244e-06,0
1.87724199987717e-07,-1.4330909328282e-06,0
1.99596450686607e-07,-1.59910667326952e-06,0
9.62785695176283e-08,-1.87686508608045e-06,0
2.41421585076838e-07,-2.0782352601835e-06,0
-5.1791409828665e-09,-1.9995892157165e-06,0
-2.68308891355165e-08,-2.00767996919967e-06,0
-1.03779287157756e-07,-1.87221379845455e-06,0
-1.12479640325154e-07,-1.91648891077094e-06,0
-2.05873901331429e-07,-1.88393272706543e-06,0
-7.06782826315827e-08,-1.76648493141088e-06,0
-6.3340531383234e-08,-1.79145574448298e-06,0
-1.09104376888316e-07,-1.74039976977914e-06,0
-1.65964537032776e-07,-1.82366990832243e-06,0
-1.22832452010689e-07,-1.93029463849017e-06,0
-1.26435731312267e-07,-1.96926589277058e-06,0
-1.4050208725222e-07,-1.82793757319367e-06,0
3.54904203973431e-08,-1.86185301852124e-06,0
1.27330663507549e-07,-1.88058830520755e-06,0
5.82207135158945e-08,-1.74649337447776e-06,0
1.13885887090442e-07,-1.60902735274687e-06,0
1.76761788711246e-07,-1.6673828838921e-06,0
1.59446360396487e-07,-1.60737917977749e-06,0
-7.97767492777592e-08,-1.63489003311457e-06,0
-1.1796301637117e-07,-1.67258579044264e-06,0
-1.32524850896979e-07,-1.84465781887671e-06,0
-1.83893212597864e-07,-1.90741703085446e-06,0
-3.16160674046564e-07,-1.87734604402692e-06,0
-3.94530486735307e-07,-1.97058964673691e-06,0
-4.82821833053957e-07,-1.90256547066195e-06,0
-5.0658083748779e-07,-1.92497353368408e-06,0
-2.89094780603557e-07,-1.96117030836767e-06,0
9.58910076619811e-08,-2.13220726367836e-06,0
1.8530311559841e-07,-2.12572148959477e-06,0
2.79457664668072e-07,-2.07158358474277e-06,0
1.57917290291085e-07,-2.02662912928857e-06,0
3.19992814276093e-08,-2.06520045199519e-06,0
1.78934064712939e-07,-2.16465466875156e-06,0
8.27444200979791e-08,-2.08628507688822e-06,0
-3.2131381069709e-08,-2.05989086011446e-06,0
-1.4605165140744e-07,-2.03284231060658e-06,0
-1.44678457335567e-07,-2.02686750397992e-06,0
-3.73129463683595e-07,-2.07917689364283e-06,0
-2.84931156935177e-07,-2.10770971843078e-06,0
-2.83758793374869e-07,-1.83508098020751e-06,0
-3.00075631727446e-07,-1.79607370580766e-06,0
-2.7227935322053e-07,-1.64714454355478e-06,0
-2.78296158571764e-07,-1.64990811306953e-06,0
-3.48193885259726e-07,-1.66817257318187e-06,0
-3.7358052422686e-07,-1.56694825067992e-06,0
-4.07825065891543e-07,-1.57600353543175e-06,0
-4.01808586603701e-07,-1.6421483117434e-06,0
-5.89017208384946e-07,-1.54719272329489e-06,0
-6.22245691113926e-07,-1.52145489100484e-06,0
-6.17303627886506e-07,-1.68865438274749e-06,0
-7.89695840406577e-07,-1.7486473468764e-06,0
-7.47099564942817e-07,-1.84806224185426e-06,0
-6.19028217852795e-07,-1.8074531820401e-06,0
-6.16977218331467e-07,-1.63701671634852e-06,0
-5.94930354695416e-07,-1.74463319778618e-06,0
-4.94574499280687e-07,-1.60104639947939e-06,0
-4.26734589770578e-07,-1.69653708141773e-06,0
-5.50946801180851e-07,-1.81014466987211e-06,0
-6.4350193453189e-07,-1.85004571899726e-06,0
-6.90524042108434e-07,-1.78957052839182e-06,0
-8.22295356305897e-07,-1.88412217270908e-06,0
-7.45683918248672e-07,-1.78793514064757e-06,0
-5.1372514129217e-07,-1.60583265501446e-06,0
-4.29717871759686e-07,-1.57012882961253e-06,0
-4.71231864137674e-07,-1.53479808850266e-06,0
-4.28463184350239e-07,-1.39550203388922e-06,0
-2.93563144691152e-07,-1.39202120514439e-06,0
-3.28734011482489e-07,-1.26620734235088e-06,0
-4.07096503311473e-07,-1.30656790378268e-06,0
-3.32277859999835e-07,-1.53024829046298e-06,0
